Nos.,order_id,item,Price,City,quantity,bill_amount,state,date
437,38,Product 239,300,Ahmedabad,8,2400,Gujarat,2015
438,38,Product 22,160,Ahmedabad,1,160,Gujarat,2015
439,38,Product 315,122,Ahmedabad,10,1220,Gujarat,2015
440,38,Product 446,177,Ahmedabad,7,1239,Gujarat,2015
441,38,Product 222,193,Ahmedabad,5,965,Gujarat,2015
442,38,Product 302,59,Ahmedabad,3,177,Gujarat,2015
443,38,Product 496,240,Ahmedabad,8,1920,Gujarat,2015
444,38,Product 182,87,Ahmedabad,10,870,Gujarat,2015
445,38,Product 335,104,Ahmedabad,3,312,Gujarat,2015
446,38,Product 193,282,Ahmedabad,3,846,Gujarat,2015
447,38,Product 365,203,Ahmedabad,8,1624,Gujarat,2015
448,38,Product 485,295,Ahmedabad,3,885,Gujarat,2015
449,38,Product 2,239,Ahmedabad,10,2390,Gujarat,2015
450,39,Product 306,284,Thane West,3,852,Maharashtra,2015
